DEPTH,ROP,RPM,SWOB,TQA,HKLD,GRR
937.26,244.553232,140.0,2.7533056859,5.73510992144182,95.7488133833,
937.412,244.221,140.6,2.4811502639,5.93848261369153,95.8395318573,40.32
937.443,,,,,,
937.565,244.49532,141.0,2.494758035,5.85713353679165,95.8032444677,
937.717,244.519704,141.0,2.6535153645,5.55885358815874,95.8349959336,37.12
937.818,,,,,,
937.87,244.99824,140.0,2.6262998223,5.27413181900915,95.8032444677,
938.022,244.437408,140.0,2.7442338385,5.27413181900915,95.8259240862,37.76
938.156,,,,,,
938.174,243.690648,140.0,2.8712397021,5.28768999849246,95.8077803914,
938.327,244.49532,140.0,2.8848474732,5.28768999849246,95.7578852307,37.12
938.479,245.27256,140.0,2.8939193206,5.3283645369424,95.6717026804,
938.497,,,,,,
938.632,244.486176,140.5,2.9710300235,5.40971361384229,95.5945919775,
938.784,244.086888,141.0,2.9528863287,5.45038815229223,95.6081997486,37.12
938.836,,,,,,
938.936,244.940328,141.0,2.8621678547,5.53173722919211,95.5356249694,
939.089,245.376192,140.6,2.7895930755,5.59952812660868,95.6580949093,
939.211,,,,,,
939.241,245.007384,140.0,2.7623775333,5.66731902402525,95.5855201301,
939.394,244.757448,140.0,2.8485600836,5.69443538299188,95.6036638249,
939.546,244.714776,140.5,2.9801018709,5.83001717782502,95.617271596,
939.552,,,,,,
939.698,245.421912,141.0,3.1343232767,5.92492443420822,95.5401608931,
939.851,251.207016,141.0,3.1524669715,5.93848261369153,95.5900560538,
939.903,,,,,,
940.003,256.38252,140.75,2.9438144813,5.80290081885839,95.5945919775,
940.156,255.205992,140.0,2.6444435171,5.69443538299188,95.6717026804,
940.256,,,,,,
940.308,256.669032,140.0,2.6716590593,5.74866810092514,95.6399512145,
940.46,256.190496,141.0,2.5990842801,5.93848261369153,95.6081997486,
940.613,254.998728,141.0,2.7986649229,5.93848261369153,95.6081997486,
940.765,255.489456,141.0,2.8621678547,6.08762258800799,95.6762386041,
940.918,255.77292,141.0,2.7759853044,6.14185530594125,95.6535589856,
941.003,,,,,,
941.07,256.943352,141.0,2.8848474732,5.99271533162479,95.6081997486,
941.222,256.55016,140.6,2.8440241599,5.85713353679165,95.6081997486,
941.36,,,,,,
941.375,255.98628,140.5,2.9528863287,5.78934263937508,95.6354152908,
941.527,255.687576,140.5,2.8530960073,5.92492443420822,95.6853104515,
941.68,256.818384,140.0,2.8440241599,5.92492443420822,95.6580949093,
941.75,,,,,,
941.832,256.61112,140.0,2.7079464489,5.72155174195851,95.70799007,
941.984,255.593088,140.0,2.766913457,5.59952812660868,95.6853104515,
942.106,,,,,,
942.137,256.117344,140.0,2.8213445414,5.57241176764206,95.6671667567,39.68
