DEPTH,GR,RT,RHOB,NPHI,PEF
2862.8,4.5742,6.4235,,,
2862.9,6.0101,6.4721,,,
2863.0,5.6456,6.5467,,,
2863.1,4.9202,6.5807,,,
2863.2,4.9826,6.6097,,,
2863.3,3.7709,6.6402,,,
2863.4,4.5948,6.6706,,,
2863.5,4.7502,6.6491,,,
2863.6,4.1609,6.6221,,,
2863.7,4.5277,6.5298,,,
2863.8,5.1875,6.3687,,,
2863.9,3.7508,6.2711,,,
2864.0,4.7858,6.2129,,,
2864.1,5.0567,6.1577,,,
2864.2,5.5272,6.0727,,,
2864.3,6.7437,5.982,,,
2864.4,6.5721,5.9111,,,
2864.5,6.5823,5.8602,,,
2864.6,7.5369,5.8338,,,
2864.7,7.7034,5.8013,,,
2864.8,5.2592,5.7972,,,
2864.9,5.6644,5.832,,,
2865.0,6.0723,5.8569,,,
2865.1,5.2982,5.6683,,,
2865.2,3.7159,5.5511,,,
2865.3,3.0813,5.4609,,,
2865.4,3.3455,5.3367,,,
2865.5,3.0184,5.2762,,,
2865.6,3.0213,5.2212,,,
2865.7,3.4657,5.3004,,,
2865.8,3.6856,5.4841,,,
2865.9,4.1543,5.6636,,,
2866.0,4.0192,5.7649,,,
2866.1,5.2141,5.8127,,,
2866.2,5.7954,5.8901,,,
2866.3,6.8306,6.0438,,,
2866.4,4.5176,6.2311,,,
2866.5,5.6776,6.3682,,,
2866.6,5.7275,6.4239,,,
2866.7,5.2397,6.151,,,
2866.8,4.7708,5.7831,,,
2866.9,3.7234,5.1871,,,
2867.0,4.7192,4.8333,,,
2867.1,4.7286,4.4287,,,
2867.2,3.7988,3.9191,,,
2867.3,3.419,3.4223,,,
2867.4,4.0916,3.29,,,
2867.5,3.6183,3.2542,,,
2867.6,3.5265,3.1279,,,
2867.7,4.6889,2.9559,,,
2867.8,4.9536,2.7876,,,
2867.9,4.7032,2.5719,,,
2868.0,5.0263,2.3658,,,
2868.1,5.7323,2.2327,,,
2868.2,4.8588,2.1443,,,
2868.3,5.1737,2.4158,,,
2868.4,3.8826,2.8191,,,
2868.5,4.0369,3.0349,,,
2868.6,4.0295,2.9883,,,
2868.7,2.7507,2.891,,,
2868.8,3.2021,2.864,,,
2868.9,2.7613,2.9475,,,
2869.0,3.3308,3.147,,,
2869.1,3.2071,3.4288,,,
2869.2,3.7355,3.8118,,,
2869.3,4.6764,3.8539,,,
2869.4,4.5352,3.8103,,,
2869.5,4.9763,3.7865,,,
2869.6,5.0831,3.763,,,
2869.7,4.7156,3.7363,,,
2869.8,5.094,3.693,,,
2869.9,4.8509,3.7358,,,
2870.0,3.7936,3.791,,,
2870.1,3.2187,3.9295,,,
2870.2,4.6156,4.1068,,,
2870.3,5.2668,4.159,,,
2870.4,6.5286,4.1394,,,
2870.5,7.0398,4.1145,,,
2870.6,7.8172,4.0223,,,
2870.7,9.2741,3.8957,,,
2870.8,10.1744,3.8666,,,
2870.9,10.1165,3.9936,,,
2871.0,8.224,4.1746,,,
2871.1,4.7429,4.3445,,,
2871.2,3.2165,4.3376,,,
2871.3,3.7283,4.357,,,
2871.4,3.4563,4.3524,,,
2871.5,3.4218,4.2999,,,
2871.6,3.8406,4.2578,,,
2871.7,4.3038,4.2255,,,
2871.8,4.2736,4.1817,,,
2871.9,3.6195,4.1167,,,
2872.0,3.6316,4.0414,,,
2872.1,4.0712,3.986,,,
2872.2,3.8072,3.934,,,
2872.3,4.593,3.8957,,,
2872.4,5.2298,3.8102,,,
2872.5,7.0757,3.7011,,,
2872.6,7.4011,3.6503,,,
2872.7,7.4775,3.5957,,,
2872.8,7.586,3.5687,,,
2872.9,6.5025,3.3676,,,
2873.0,5.5784,3.1393,,,
2873.1,5.1386,3.0179,,,
2873.2,5.4856,2.9485,,,
2873.3,6.6474,2.9315,,,
2873.4,7.4651,2.8977,,,
2873.5,6.6358,2.7628,,,
2873.6,5.463,2.6356,,,
2873.7,4.4686,2.5184,,,
2873.8,4.5511,2.4401,,,
2873.9,4.2718,2.3608,,,
2874.0,4.7808,2.3265,,,
2874.1,5.161,2.3356,,,
2874.2,5.2395,2.3356,,,
2874.3,5.1696,2.3739,,,
2874.4,6.3713,2.4296,,,
2874.5,5.8676,2.529,,,
2874.6,4.8412,2.7394,,,
2874.7,5.3525,2.9382,,,
2874.8,5.7578,3.0033,,,
2874.9,6.6949,3.0245,,,
2875.0,4.8763,2.999,,,
2875.1,5.1268,2.9503,,,
2875.2,6.7752,2.9163,,,
2875.3,6.0195,2.8914,,,
2875.4,6.1277,2.8596,,,
2875.5,4.9797,2.8397,,,
