DEPTH,GR,RT,RHOB,NPHI,DTS
3127.1,5.022,3.672,2.566,0.09,119.541
3127.2,5.634,3.708,2.569,0.09,118.958
3127.3,5.751,3.729,2.57,0.092,118.626
3127.4,5.458,3.751,2.569,0.092,118.526
3127.5,5.046,3.766,2.565,0.092,119.006
3127.6,4.906,3.783,2.56,0.094,119.303
3127.7,4.074,3.803,2.556,0.093,119.392
3127.8,4.609,3.826,2.553,0.095,119.477
3127.9,5.229,3.85,2.55,0.097,119.704
3128.0,4.56,3.868,2.548,0.099,120.127
3128.1,4.768,3.888,2.546,0.1,120.719
3128.2,5.603,3.874,2.543,0.102,121.523
3128.3,5.155,3.846,2.541,0.103,122.651
3128.4,5.125,3.813,2.54,0.103,123.456
3128.5,5.705,3.831,2.541,0.103,124.151
3128.6,6.437,3.841,2.542,0.104,124.734
3128.7,7.518,3.859,2.543,0.106,124.508
3128.8,7.079,3.894,2.542,0.108,124.117
3128.9,6.367,3.917,2.541,0.109,123.811
3129.0,5.79,3.913,2.54,0.109,123.146
3129.1,6.032,3.86,2.54,0.108,122.433
3129.2,6.645,3.814,2.54,0.109,121.952
3129.3,7.203,3.813,2.541,0.11,121.269
3129.4,6.492,3.862,2.543,0.11,120.565
3129.5,6.169,3.882,2.547,0.108,120.133
3129.6,6.771,3.921,2.55,0.106,119.688
3129.7,6.737,3.925,2.551,0.104,119.274
3129.8,6.576,3.92,2.549,0.103,119.101
3129.9,6.91,3.914,2.547,0.099,118.951
3130.0,6.682,3.929,2.547,0.097,118.819
3130.1,7.53,3.937,2.547,0.095,118.722
3130.2,7.931,3.952,2.549,0.095,118.495
3130.3,8.036,3.957,2.551,0.095,118.171
3130.4,7.745,3.984,2.552,0.096,117.958
3130.5,7.976,3.996,2.552,0.096,117.898
3130.6,7.885,4.004,2.553,0.095,117.984
3130.7,7.313,4.005,2.555,0.093,117.723
3130.8,7.29,4.006,2.556,0.09,117.484
3130.9,7.268,4.009,2.557,0.088,117.273
3131.0,7.388,4.015,2.559,0.087,117.381
3131.1,6.987,4.028,2.562,0.087,117.381
3131.2,6.725,4.037,2.568,0.087,117.207
3131.3,6.919,4.031,2.575,0.087,117.705
3131.4,6.725,4.041,2.579,0.087,118.375
3131.5,6.83,4.028,2.58,0.088,119.203
3131.6,7.364,4.045,2.58,0.089,120.479
3131.7,7.701,4.051,2.58,0.089,121.736
3131.8,7.401,4.07,2.58,0.088,122.781
3131.9,8.038,4.071,2.582,0.087,123.44
3132.0,7.859,4.075,2.581,0.086,123.787
3132.1,8.64,4.084,2.579,0.086,123.566
3132.2,7.959,4.083,2.576,0.087,123.195
3132.3,7.344,4.101,2.575,0.088,122.304
3132.4,7.299,4.124,2.574,0.089,119.809
3132.5,7.1,4.152,2.574,0.092,117.822
3132.6,7.685,4.175,2.572,0.092,116.033
3132.7,8.872,4.188,2.571,0.092,114.176
3132.8,8.971,4.215,2.57,0.088,114.106
3132.9,8.567,4.236,2.572,0.087,114.943
3133.0,8.157,4.251,2.574,0.086,115.56
3133.1,8.911,4.266,2.573,0.087,116.379
3133.2,8.74,4.284,2.572,0.088,117.22
3133.3,7.887,4.311,2.571,0.089,116.871
3133.4,7.953,4.339,2.572,0.089,116.678
3133.5,7.759,4.35,2.574,0.088,116.568
3133.6,6.868,4.361,2.576,0.087,115.354
3133.7,7.76,4.369,2.575,0.086,116.167
3133.8,8.464,4.381,2.571,0.084,118.917
3133.9,8.205,4.374,2.567,0.084,118.533
3134.0,7.18,4.364,2.565,0.085,119.248
3134.1,6.817,4.355,2.566,0.086,121.282
3134.2,6.877,4.351,2.569,0.087,117.922
3134.3,6.885,4.355,2.571,0.087,115.693
3134.4,7.173,4.36,2.571,0.09,115.55
3134.5,7.352,4.371,2.57,0.088,115.078
3134.6,8.196,4.37,2.571,0.089,115.235
3134.7,7.611,4.378,2.572,0.09,116.547
3134.8,7.094,4.404,2.574,0.09,117.213
