DEPTH,GR,RT,RHOB,NPHI,DT
3035.046,36.8941001,5.3197999,2.3571999,0.0553,61.7075996
3035.1984,38.0978012,5.28259992,2.36100006,0.0604,63.1268997
3035.3508,39.6025009,5.27089977,2.33290004,0.0653,65.337799
3035.5032,45.1095008,5.00260019,2.32159996,0.0724,67.1809005
3035.6556,45.1095008,4.69899988,2.34770011,0.0762,70.0608978
3035.808,45.5909996,4.37419986,2.37899994,0.08449999,70.6417007
3035.9604,46.8849983,4.04619979,2.35220003,0.0878,69.0185012
3036.1128,48.3897018,3.56780004,2.36779999,0.0877,67.0479965
3036.2652,47.9985008,3.71860003,2.35969996,0.079,67.7907028
3036.4176,43.9961013,3.81870007,2.35640001,0.0719,63.9054985
3036.57,40.3848991,4.17560005,2.3512001,0.06629999,61.5573997
3036.7224,38.2784004,4.75229978,2.35229992,0.0623,61.3754997
3036.8748,34.3662986,5.05569982,2.35960006,0.0581,60.4659996
3037.0272,32.9519004,5.59140014,2.35019993,0.052,61.2094001
3037.1796,32.9519004,6.45100021,2.31380009,0.048,62.1946983
3037.332,31.0559997,6.98390007,2.28620004,0.0449,61.2859001
3037.4844,30.9657001,7.33409976,2.2880001,0.04479999,60.7816009
3037.6368,30.9657001,7.6301999,2.30949997,0.04289999,60.9916992
3037.7892,32.8615989,7.69290018,2.3355,0.0421,61.3451995
3037.9416,30.7551002,7.7498002,2.33319997,0.0405,59.8872985
3038.094,28.5583,7.79160022,2.32940006,0.0419,61.8177986
3038.2464,27.2642993,7.80429983,2.30139994,0.04439999,62.8340988
3038.3988,28.5583,7.65210008,2.27920007,0.0494,63.0751991
3038.5512,31.2667007,7.36679983,2.2479999,0.05279999,62.5942993
3038.7036,32.0490989,7.04160022,2.25670003,0.0533,62.9622001
3038.856,31.9587993,6.88929986,2.25200009,0.05429999,62.9174003
3039.0084,31.9587993,6.99160003,2.27539992,0.05759999,66.1647033
3039.1608,33.2829017,6.52470016,2.29139995,0.06239999,63.3116989
3039.3132,36.0816001,6.32100009,2.29990005,0.06379999,62.1036987
3039.4656,35.6603012,5.83780002,2.27729988,0.0634,60.8507995
3039.618,34.5467987,5.82149982,2.27139997,0.06319999,61.653099
3039.7704,31.4472007,5.71680021,2.26699995,0.06469999,61.9845008
3039.9228,31.8684997,5.7631998,2.27480006,0.07129999,64.4876022
3040.0752,33.9749984,5.69360017,2.26859998,0.07689999,67.9394989
3040.2276,36.6833992,5.14400005,2.28419995,0.08529999,71.0460968
3040.38,36.1717987,5.11660003,2.30710005,0.0895,72.4613037
3040.5324,37.8871994,4.97329998,2.3427,0.0961,67.9375
